node_from,node_to,n,mean_pred,sd_pred,p_value
Euphorbia_balsamifera_f,Andrena_vulcana,14,0.9543850089709762,0.05056892939700685,3.764716220259816e-8
Euphorbia_balsamifera_f,Anthophora_alluaudi,189,0.96179082257023,0.05319446760409935,3.8007520743375686e-97
Euphorbia_balsamifera_f,Anthophora_orotavae,38,0.9698771080546548,0.04156268680136806,6.826393052806059e-25
Euphorbia_balsamifera_f,Attagenus_wollastoni,29,0.9150411669551571,0.06075307897951211,6.242229921388127e-11
Euphorbia_balsamifera_f,Attalus_obscurus,17,0.981431264146951,0.037215617064023376,8.855807749554762e-13
Euphorbia_balsamifera_f,Bracon_sp,18,0.9708294576672784,0.054159926291640056,1.866605836177657e-10
Euphorbia_balsamifera_f,Campiglossa_martii,7,0.9745321673548366,0.006581193478387867,5.638922755316704e-10
Euphorbia_balsamifera_f,Chalicodoma_sicula,10,0.966889638868411,0.02277860273374981,2.4728948571307105e-9
Euphorbia_balsamifera_f,Chloropidae_sp_1,5,0.9659776888001851,0.013239891245509176,9.635503225657766e-6
Euphorbia_balsamifera_f,Chloropidae_sp_5,11,0.9465490385818149,0.04640880847127304,1.038844337595554e-6
Euphorbia_balsamifera_f,Coccinella_miranda,7,0.9638962737015465,0.044515078815001094,6.72491491010789e-5
Euphorbia_balsamifera_f,Dasytes_subaenescens,14,0.913277264870153,0.06099827082254069,1.0089916361826822e-5
Euphorbia_balsamifera_f,Diglyphus_chabrias,5,0.982721634430833,0.005250270983979263,1.6341815335519259e-7
Euphorbia_balsamifera_f,Dinarmoides_spilopterus,36,0.9117092052871357,0.07152151095947704,4.506988553941741e-11
Euphorbia_balsamifera_f,Eristalinus_aeneus,7,0.8761146458485425,0.026268857868682816,2.575656891763419e-4
Euphorbia_balsamifera_f,Eristalinus_taeniops,23,0.9230207408788577,0.06522443650527991,7.2490093894389225e-9
Euphorbia_balsamifera_f,Eristalis_tenax,8,0.9269396885626959,0.05445686223422091,3.0626520521763836e-4
Euphorbia_balsamifera_f,Eucera_gracilipes,10,0.9331824032321198,0.0612360001913888,7.245555672703926e-5
Euphorbia_balsamifera_f,Euderus_sp,9,0.9034009709669114,0.060307670914941394,8.811455878568908e-4
Euphorbia_balsamifera_f,Eurytoma_sp_1,6,0.9234430827487075,0.04210034710423035,8.143212717809491e-4
Euphorbia_balsamifera_f,Exhyalanthrax_canarionae,5,0.8559746423337226,0.05196492936523933,0.0736658403581171
Euphorbia_balsamifera_f,Geometridae_sp_2,8,0.9479539844973854,0.02261342643660251,3.3365172886943527e-7
Euphorbia_balsamifera_f,Hylaeus_hohmanni,14,0.9619260894237736,0.04583968506223087,6.505496218630024e-9
Euphorbia_balsamifera_f,Lasioglossum_loetum,113,0.9702983950987564,0.03913359365275649,7.949647287253505e-75
Euphorbia_balsamifera_f,Leptochilus_cruentatus,8,0.9483315980142051,0.042340976499553276,2.272658980510767e-5
Euphorbia_balsamifera_f,Leptochilus_eatoni,9,0.8583290159798933,0.03328378070819363,7.668921368802919e-4
Euphorbia_balsamifera_f,Malthinus_mutabilis,5,0.9252260422817656,0.07398710715236412,0.01935827715000355
Euphorbia_balsamifera_f,Melecta_curvispina,7,0.8674864533784443,0.0456270183787927,0.007862404852313
Euphorbia_balsamifera_f,Meligethes_canariensis,25,0.9502722836015504,0.04459805661220963,8.438304103172782e-15
Euphorbia_balsamifera_f,Myopites_nigrescens,20,0.9503819525772618,0.048921289809321006,2.5261917648911006e-11
Euphorbia_balsamifera_f,Oscinimorpha_sp,6,0.9339391529178721,0.03839111408691797,3.6128321505102826e-4
Euphorbia_balsamifera_f,Phalacrus_coruscus,5,0.9569512587228675,0.021205233999193537,7.805980438362182e-5
Euphorbia_balsamifera_f,Phthiria_simonyi,35,0.9384491001655815,0.06297862968958558,9.392592104751819e-15
Euphorbia_balsamifera_f,Phyto_discrepans,8,0.8415583520349678,0.011078515990021904,1.4459964177417148e-5
Euphorbia_balsamifera_f,Pteromalus_sp_4,8,0.8972100617953994,0.03998260978335113,2.3621293529001953e-4
Euphorbia_balsamifera_f,Sarcophagidae_sp_8,8,0.9074658214317468,0.02033604015167803,1.4395742785612479e-6
Euphorbia_balsamifera_f,Scaeva_albomaculata,21,0.9499655779753277,0.05080970760055339,1.5959283765187906e-11
Euphorbia_balsamifera_f,Scenopinus_sp,28,0.9414887113249676,0.06671459325778771,1.1315592587180326e-11
Euphorbia_balsamifera_f,Synthesomyia_nudiseta,11,0.855760933218423,0.015256427915590565,2.656205026092777e-7
Euphorbia_balsamifera_f,Syritta_pipiens,22,0.9392758675207136,0.059329989954055605,3.4985538696122687e-10
Euphorbia_balsamifera_f,Tetramesa_sp,7,0.9635237415082473,0.014455698962127334,9.228855633325015e-8
Euphorbia_balsamifera_f,Thomisus_cf_onustus,12,0.9968980718406636,0.0016387492599576905,1.9337096670604936e-24
Euphorbia_balsamifera_f,Thysanoptera_sp_2,214,0.9825171923886945,0.03971159126143892,2.054088202977654e-145
Euphorbia_balsamifera_f,Thysanoptera_sp_3,59,0.9606460412816147,0.042814050136322786,4.557110031777124e-36
