emln_id,train_layer,test_layer,TP,FN,TN,FP,specificity,precision,recall,f1_score,balanced_accuracy,mcc,mse,rmse,nse,nnse
60,4,2,7.12,3.88,6.44,4.56,0.5854545454545454,0.6134121711621712,0.6472727272727272,0.6214310178805804,0.6163636363636363,0.23979422115323243,86.98728799519309,8.744453594987702,-4.948735471376497,0.4350822190065387
60,4,3,11.66,7.34,11.68,7.32,0.6147368421052631,0.6192964362143593,0.6136842105263158,0.6133854101322376,0.6142105263157894,0.23052624907569538,44.02691330953886,6.309671664941411,-1.5878049935218708,0.41151332280227476
60,4,4,8.8,5.2,9.2,4.8,0.6571428571428571,0.6555849011669445,0.6285714285714286,0.6345052897306487,0.6428571428571429,0.2912685918028249,48.20553926616516,6.46852198686332,-3.3684271550909584,0.4838633699207051
60,4,5,3.6,3.4,4.12,2.88,0.5885714285714285,0.5573730158730159,0.5142857142857142,0.5253370849996237,0.5514285714285714,0.1080050365055605,193.15381251229616,11.499991676509293,-29.37873339952597,0.3711167609374535
60,4,6,5.88,3.12,5.64,3.36,0.6266666666666667,0.6552103452103452,0.6533333333333333,0.6408465706979639,0.64,0.2886912712475898,140.3941246055744,10.207401121304843,-11.11115500574267,0.3717595587785988
60,4,7,5.8,3.2,5.26,3.74,0.5844444444444444,0.6144277389277389,0.6444444444444444,0.6236989331617815,0.6144444444444445,0.23458847456812307,147.60818738645884,9.590720181599844,-3.412184696107821,0.4058472728437289
60,5,1,4.96,2.04,4.2,2.8,0.6,0.6544653679653679,0.7085714285714285,0.6712577030812324,0.6542857142857142,0.318747845538365,97.39462608322347,8.959238232621821,-4.137282022075791,0.3362470524401259
60,5,2,4.16,1.84,3.54,2.46,0.59,0.6392777777777777,0.6933333333333334,0.6532112887112886,0.6416666666666666,0.2979026367089485,92.47513478604372,8.107183822988665,-28.47662485687329,0.44797360634155475
60,5,3,3.4,1.6,3.2,1.8,0.64,0.6812619047619047,0.68,0.6586919746919747,0.66,0.3385997174470657,64.29108738087942,6.617106116060225,-17.438514814468316,0.3106076808098497
60,5,4,3.54,1.46,3.14,1.86,0.628,0.6711666666666667,0.708,0.6772669552669552,0.668,0.345871001837626,200.4581243840771,11.990648841232458,-134.1198170712534,0.2646252163494544
60,5,5,5.62,5.38,6.26,4.74,0.5690909090909091,0.5460801420801421,0.5109090909090909,0.5210724344708999,0.54,0.08235526998615844,90.40809972558019,8.492172318988946,-3.8221653122586243,0.4754404834513488
60,5,6,9.68,4.32,7.74,6.26,0.5528571428571428,0.6129745883631332,0.6914285714285714,0.6442256696356565,0.6221428571428571,0.2538485248098534,99.44050687081481,8.68455535406079,-10.706612933203484,0.34834380848902674
60,5,7,5.416666666666667,3.5833333333333335,4.708333333333333,4.291666666666667,0.5231481481481481,0.5475441225441225,0.6018518518518519,0.5690009616286706,0.5625,0.12747254856851822,128.52236515204203,9.158474892822204,-20.149501442538412,0.3143021988985864
60,6,1,5.8,2.2,4.9,3.1,0.6125,0.6642293262293262,0.725,0.6865366357069144,0.66875,0.3447702853267449,68.06200633240633,7.8673311148555145,-22.311746733106457,0.3606080673332873
60,6,2,4.42,2.58,4.68,2.32,0.6685714285714286,0.6666313131313131,0.6314285714285715,0.6388068010420951,0.65,0.3074994240468247,74.10075357825866,7.576380650239612,-4.868831950559172,0.4671161951907809
60,6,3,4.68,2.32,4.74,2.26,0.6771428571428572,0.6874603174603174,0.6685714285714286,0.6607313536137065,0.6728571428571428,0.35582247609144324,46.45383811733478,6.379184369533393,-12.424554770186901,0.27972385835563657
60,6,4,3.76,2.24,3.26,2.74,0.5433333333333333,0.5899285714285715,0.6266666666666667,0.5975704295704296,0.585,0.17398676849535705,70.48020546238162,7.520730405803248,-27.14030682733814,0.28311186935480676
60,6,5,6.38,4.62,5.68,5.32,0.5163636363636364,0.5519654414213238,0.58,0.5598875113429966,0.5481818181818182,0.0974559277902823,102.71164394711063,8.889792511624629,-5.199793789342923,0.4076399628899308
60,6,6,11.06,3.94,9.14,5.86,0.6093333333333333,0.6590078435496393,0.7373333333333333,0.6925748187558042,0.6733333333333333,0.3530287519554052,34.60287761244021,5.463906355287094,-2.906647365955508,0.4073629121737212
60,6,7,6.08,2.92,4.56,4.44,0.5066666666666667,0.5852400932400932,0.6755555555555556,0.6209890679383882,0.5911111111111111,0.1855874211483831,190.94511780296511,12.281874773747916,-15.401359521774836,0.3621165270240303
60,7,1,3.5238095238095237,1.4761904761904763,3.142857142857143,1.8571428571428572,0.6285714285714286,0.6893801965230537,0.7047619047619048,0.6824004038289753,0.6666666666666666,0.3475551142232411,46.38434360382866,6.1989818955824685,-2.8552721118104,0.35569053106268506
60,7,2,3.5,1.5,2.72,2.28,0.544,0.6222460317460318,0.7000000000000001,0.6442609612609612,0.622,0.2607843805874277,93.95355610218847,8.336543713468679,-3.8831556921864365,0.4116457129966311
60,7,3,4.08,1.92,3.86,2.14,0.6433333333333333,0.6802821067821068,0.68,0.6592351961763726,0.6616666666666666,0.34364095841563036,32.344325748153764,5.03358083870036,-6.184084267840033,0.37471996607500774
60,7,4,3.36,1.64,3.2,1.8,0.64,0.6772063492063493,0.672,0.6557017427017426,0.656,0.3318645601000601,54.00658359246496,6.560745235738819,-16.161728209956486,0.36041373985854214
60,7,5,3.2,2.8,3.42,2.58,0.57,0.5531190476190476,0.5333333333333333,0.532046176046176,0.5516666666666666,0.10590885949052323,205.0661457047929,12.358828367219521,-13.48481027886622,0.405532243710533
60,7,6,4.36,2.64,4.16,2.84,0.5942857142857143,0.6092994227994228,0.6228571428571429,0.604330633934349,0.6085714285714285,0.2265216880229185,184.12012195710585,11.553962643343976,-94.47139926003501,0.27770929898306496
60,7,7,6.08,4.92,6.92,4.08,0.6290909090909091,0.6086118881118882,0.5527272727272727,0.5691111585572213,0.5909090909090909,0.18858469249875512,142.65397095437,10.656578041809247,-16.82115201762215,0.37882625623275723
