"train_layer","test_layer","threshold","f05","f1","mcc","train_layer_name","test_layer_name","jaccard_pollinators","jaccard_plants","jaccard_edges","distance_km","layer_comparison"
1,4,0.425,0.688727823155606,0.77882918960016,NA,"Tenerife Teno","Fuerteventura",0.0952380952380952,0.166666666666667,0.0272727272727273,337.05548055,"Added location"
1,4,0.45,0.688727823155606,0.77882918960016,NA,"Tenerife Teno","Fuerteventura",0.0952380952380952,0.166666666666667,0.0272727272727273,337.05548055,"Added location"
1,4,0.475,0.688727823155606,0.77882918960016,NA,"Tenerife Teno","Fuerteventura",0.0952380952380952,0.166666666666667,0.0272727272727273,337.05548055,"Added location"
1,4,0.5,0.695684992763951,0.76750040029413,0.107953478141678,"Tenerife Teno","Fuerteventura",0.0952380952380952,0.166666666666667,0.0272727272727273,337.05548055,"Added location"
1,4,0.525,0.698590191899469,0.767230477134303,0.120761959486461,"Tenerife Teno","Fuerteventura",0.0952380952380952,0.166666666666667,0.0272727272727273,337.05548055,"Added location"
1,4,0.55,0.698187815148279,0.761767103527681,0.126102179733853,"Tenerife Teno","Fuerteventura",0.0952380952380952,0.166666666666667,0.0272727272727273,337.05548055,"Added location"
1,4,0.575,0.689083876072646,0.743515661601837,0.0971353869440886,"Tenerife Teno","Fuerteventura",0.0952380952380952,0.166666666666667,0.0272727272727273,337.05548055,"Added location"
1,4,0.6,0.680943339518329,0.725262187782118,0.0744009199257392,"Tenerife Teno","Fuerteventura",0.0952380952380952,0.166666666666667,0.0272727272727273,337.05548055,"Added location"
1,4,0.625,0.671181781111556,0.704387302752463,0.0519680983572243,"Tenerife Teno","Fuerteventura",0.0952380952380952,0.166666666666667,0.0272727272727273,337.05548055,"Added location"
1,4,0.65,0.6740946918086,0.697641063400626,0.072741949160151,"Tenerife Teno","Fuerteventura",0.0952380952380952,0.166666666666667,0.0272727272727273,337.05548055,"Added location"
1,4,0.675,0.671125051616159,0.687418410709626,0.0696978381161703,"Tenerife Teno","Fuerteventura",0.0952380952380952,0.166666666666667,0.0272727272727273,337.05548055,"Added location"
1,4,0.7,0.66037986907666,0.670447716951271,0.0527191087971723,"Tenerife Teno","Fuerteventura",0.0952380952380952,0.166666666666667,0.0272727272727273,337.05548055,"Added location"
1,4,0.725,0.656506301259629,0.658020672675761,0.0529189576345491,"Tenerife Teno","Fuerteventura",0.0952380952380952,0.166666666666667,0.0272727272727273,337.05548055,"Added location"
1,4,0.75,0.647684955767882,0.643731289074026,0.0347866716256845,"Tenerife Teno","Fuerteventura",0.0952380952380952,0.166666666666667,0.0272727272727273,337.05548055,"Added location"
1,4,0.775,0.64389390131603,0.636357187195273,0.0301638798980774,"Tenerife Teno","Fuerteventura",0.0952380952380952,0.166666666666667,0.0272727272727273,337.05548055,"Added location"
1,4,0.8,0.645231601865666,0.632213188406021,0.0402320859320032,"Tenerife Teno","Fuerteventura",0.0952380952380952,0.166666666666667,0.0272727272727273,337.05548055,"Added location"
1,5,0.3,0.621294670928009,0.723112093490914,NA,"Tenerife Teno","Western Sahara",0.043859649122807,0.192307692307692,0.00843881856540084,389.094179225,"Added location"
1,5,0.325,0.621294670928009,0.723112093490914,NA,"Tenerife Teno","Western Sahara",0.043859649122807,0.192307692307692,0.00843881856540084,389.094179225,"Added location"
1,5,0.35,0.621294670928009,0.723112093490914,NA,"Tenerife Teno","Western Sahara",0.043859649122807,0.192307692307692,0.00843881856540084,389.094179225,"Added location"
1,5,0.375,0.621294670928009,0.723112093490914,NA,"Tenerife Teno","Western Sahara",0.043859649122807,0.192307692307692,0.00843881856540084,389.094179225,"Added location"
1,5,0.4,0.621294670928009,0.723112093490914,NA,"Tenerife Teno","Western Sahara",0.043859649122807,0.192307692307692,0.00843881856540084,389.094179225,"Added location"
1,5,0.425,0.621294670928009,0.723112093490914,NA,"Tenerife Teno","Western Sahara",0.043859649122807,0.192307692307692,0.00843881856540084,389.094179225,"Added location"
1,5,0.45,0.621294670928009,0.723112093490914,NA,"Tenerife Teno","Western Sahara",0.043859649122807,0.192307692307692,0.00843881856540084,389.094179225,"Added location"
1,5,0.475,0.621294670928009,0.723112093490914,NA,"Tenerife Teno","Western Sahara",0.043859649122807,0.192307692307692,0.00843881856540084,389.094179225,"Added location"
