emln_id,train_layer,test_layer,TP,FN,TN,FP,specificity,precision,recall,f1_score,balanced_accuracy,mcc,mse,rmse,nse,nnse
60,3,1,6.78,1.22,4.96,3.04,0.62,0.7050849705849705,0.8475,0.7622122854785394,0.73375,0.49237634273705144,73.24047836904981,8.08399079603935,-0.17981074059432178,0.49651073247976774
60,3,2,5.92,3.08,5.78,3.22,0.6422222222222222,0.6570342712842713,0.6577777777777778,0.6494197070447238,0.65,0.30708480429370766,74.29444555174842,8.131067834499415,-0.23588073383853767,0.4930540275252694
60,3,3,9.88,9.12,15.08,3.92,0.7936842105263158,0.7211374947180069,0.52,0.5973098001257964,0.6568421052631579,0.3302145746839582,29.929345924544165,5.089481879972225,-0.7458694281395064,0.4368381897949305
60,3,4,6.82,4.18,6.89,4.11,0.6263636363636363,0.6299743483640543,0.62,0.6179881000320628,0.6231818181818182,0.2521157566092695,50.040623992333394,6.380910936056988,-2.334999845112688,0.4368663462627382
60,3,5,3.44,3.56,4.51,2.49,0.6442857142857142,0.5963160173160174,0.4914285714285714,0.5256688442276677,0.5678571428571428,0.14528348282731357,143.22176671030772,10.51912667130166,-1.994187850580895,0.4445942377578184
60,3,6,6.33,3.67,7.19,2.81,0.719,0.7020719280719281,0.633,0.656141322270108,0.676,0.36146647058524756,84.42724481472331,7.795135941596535,-1.8693524994170583,0.41649012768385724
60,3,7,2.02,0.98,1.64,1.36,0.5466666666666666,0.6213804713804714,0.6733333333333333,0.6366618075801749,0.61,0.24336045490272154,369.9334047507386,15.799790504923635,-16.986797670234388,0.2740162206619707
60,4,1,5.25,1.75,4,3,0.5714285714285714,0.6527139804639804,0.75,0.6877141717072057,0.6607142857142857,0.3372450103716571,95.15755192774861,9.346018110921447,-2.6349681675664898,0.39709236109886153
60,4,2,4.74,3.26,5.51,2.49,0.68875,0.6712085137085138,0.5925,0.6177117431931674,0.640625,0.2917266717634371,90.81660344575423,9.185466169646599,-0.8474260854591839,0.49376075860475843
60,4,3,7.61,4.39,7.25,4.75,0.6041666666666666,0.6228542086997969,0.6341666666666667,0.6209676184221231,0.6191666666666666,0.24389378005684628,50.49565768028284,6.630985210599481,-0.961851798318004,0.4061367163992119
60,4,4,6.79,7.21,11.4,2.6,0.8142857142857143,0.7367651237651237,0.485,0.5741305057110618,0.6496428571428572,0.32378861048683716,50.69720517798552,6.8162745256338,-6.385719769510458,0.45021370457612514
60,4,5,2.53,3.47,4.5,1.5,0.75,0.6546785714285714,0.42166666666666663,0.5010767571373632,0.5858333333333333,0.19327274579931375,149.8395810450264,10.614062944480233,-2.395756868099075,0.43255508086988453
60,4,6,4.59,4.41,7.14,1.86,0.7933333333333333,0.7268152958152958,0.51,0.5844626090283985,0.6516666666666666,0.32571322898772487,93.26704199449428,8.257287481382942,-4.303031330845374,0.40042489912822743
60,4,7,0.52,1.48,1.67,0.33,0.835,0.6322751322751323,0.26,0.6579710144927536,0.5475,0.17443475122941354,74.19723876328939,4.969147905916512,-4.828663848896491,0.24223900327518222
60,5,1,5.29,1.71,3.95,3.05,0.5642857142857143,0.6419444444444444,0.7557142857142857,0.68353628028318425,0.6599999999999999,0.34019501357366855,107.98127426871484,10.083714524173628,-2.3996919613597774,0.39546359433131134
60,5,2,4.38,3.62,5.77,2.23,0.72125,0.6705984848484848,0.5475,0.5888265618969953,0.634375,0.28030319533889486,85.09823314367296,8.895707832123158,-0.9463982921864318,0.4837023963635385
60,5,3,6.19,3.81,6.77,3.23,0.677,0.663248778998779,0.619,0.6321873900728726,0.648,0.3024842983889056,58.749301590055666,7.072864909861348,-1.1517704679424696,0.41664904607146364
60,5,4,4.8,3.2,6.52,1.48,0.815,0.778234126984127,0.6,0.6683123167681991,0.7075,0.433509479894103,81.27070453399088,8.542309321131045,-6.71896184981673,0.4210210221180249
60,5,5,4.33,6.67,8.01,2.99,0.7281818181818182,0.60441286491286494,0.3936363636363636,0.46686114818087493,0.5609090909090909,0.134835321036147,114.88018356741533,9.765336193785583,-5.705564119926601,0.4215269929694954
60,5,6,7.14,3.86,7.55,3.45,0.6863636363636364,0.6857258803288215,0.649090909090909,0.6575654249765976,0.6677272727272727,0.34474951143958554,107.04284563309864,9.495116675420205,-8.083550327298779,0.3273750949315
60,5,7,0.67,1.33,1.57,0.43,0.785,0.6455399061032864,0.335,0.6385057471264368,0.56,0.19080289272947207,118.44809707827473,8.351741905368694,-31.838531969624317,0.1594886911796289
60,6,1,5.49,1.51,3.93,3.07,0.5614285714285714,0.6538823953823953,0.7842857142857143,0.7028425482326411,0.6728571428571428,0.3650191037901248,109.05020185132186,10.017639255069662,-2.1746879138610917,0.3741994888133233
60,6,2,4.18,3.82,5.36,2.64,0.67,0.6230602453102453,0.5225,0.5563988374027073,0.59625,0.20102236192290843,84.85896588232887,8.884194355951104,-0.37694756269555796,0.49680135395234354
60,6,3,6.48,3.52,6.13,3.87,0.613,0.6321841402061991,0.648,0.6328848817619716,0.6305,0.26657543235186937,51.90129916995647,6.676330794312023,-1.6427908812496597,0.415876637839071
60,6,4,4.36,3.64,6.21,1.79,0.77625,0.7256691919191919,0.545,0.6089454012619647,0.660625,0.3407277895886843,63.81622525896869,7.409781766554636,-8.216581602394534,0.40543263978032285
60,6,5,4.31,3.69,5.21,2.79,0.65125,0.6122070707070707,0.53875,0.5636623208233116,0.595,0.1971010328882356,136.62763674940342,10.754846515942553,-6.05411842639764,0.382073267369957
60,6,6,8.9,6.1,10.85,4.15,0.7233333333333333,0.6867604013633426,0.5933333333333333,0.6301084357938387,0.6583333333333333,0.32394078390185044,71.11060709273787,7.55512117577965,-3.617068987476596,0.36126549080200476
60,6,7,0.68,1.32,1.36,0.64,0.68,0.49783549783549785,0.34,0.6309090909090909,0.51,0.024280256073957215,160.26666929439347,10.312944568930009,-61.43030923106651,0.12816305090465394
60,7,1,1.75,1.25,1.59,1.41,0.53,0.5626666666666666,0.5833333333333333,0.5771329365079365,0.5566666666666666,0.12438965526018468,94.05784448135394,8.685056120926681,-15.83011270455167,0.39736741270346093
60,7,2,0.88,2.12,2.33,0.67,0.7766666666666666,0.5615686274509804,0.29333333333333333,0.5224591329068942,0.535,0.0857708339180257,90.33510755919491,7.96429956965558,-3.410202361879827,0.4040731299889042
60,7,3,3.19,1.81,2.54,2.46,0.508,0.575654761904762,0.638,0.5918545343545343,0.573,0.15306281967314198,99.76384534930288,9.032236342326042,-3.8756952332621104,0.3729983292005118
60,7,4,0.9,1.1,1.62,0.38,0.81,0.751937984496124,0.45,0.6714912280701755,0.63,0.33864246695090033,9.238425391208992,2.714829354272621,-11.078099358539891,0.25255290305862516
60,7,5,0.38,1.62,1.44,0.56,0.72,0.4253731343283582,0.19,0.6441176470588235,0.455,-0.13663732146834703,266.9252401062751,12.665801615953868,-24.06274966981455,0.20417899325479094
60,7,6,1.29,2.71,2.9,1.1,0.725,0.5709737827715355,0.3225,0.46679726743017885,0.52375,0.06641120986092261,226.76318498772758,12.225093190050837,-24.57841060172533,0.25312689627482843
60,7,7,5.54,5.46,8.03,2.97,0.73,0.6591474636474637,0.5036363636363637,0.5615917907416763,0.6168181818181818,0.2455970785159334,130.83919620136945,10.289512728041167,-12.326405989557609,0.35983074272925397
